Date,Accomodation,Huawei?,Location,Level,Type,Description,Comments,Date Done,Maintenance-Time(h)
1/12/21,,,Lobby Reception,Low,Civil,All area with Complete offices,,1/12/21,8
1/14/21,,,Staff Cafeteria,Low,Civil,needed painting,,1/14/21,8
1/15/21,,,Lobby Façade,Urgent,Civil,Fixing Alucobond,,1/15/21,7
1/16/21,,,Outside lobby,Medium,General,Fountains are not working ,"Big fountain lacks lights, small fountain the motor's coil was burnt,  has been already sent for fixing.",2/20/21,2
1/16/21,,,Spa,Urgent,Civil,Turkish Bath stones have fallen,,1/20/21,8
1/16/21,,,Dubliner,Medium,Civil,Cracks in the wall   ,,1/19/21,10
1/16/21,,,Nawroz ,Medium,Civil, ceiling needs Civil + gutter leakage  ,,1/21/21,5
1/16/21,,,KItchen,Medium,Civil,Broken tiles  ,,1/19/21,8
1/17/21,,,Entrance area,Low,mechanical,Covers of the Jack,"Two bottum covers of the jacks outside have been missing outside for over a year now, and for good reason as the jacks would pull up any cover that would be attached to General. We sent the jacks outside for lathe machine, then we elevated the jacks, and broked the floor for Generals placing. The covers now are attached ",1/17/21,7
1/18/21,,,,,PPM,,"General Comment: This day was spend by adding 10 rooms to the PPM list, which uped the total number from 30 to 40",1/18/21,10
1/18/21,,,Spa,m,Carpentry,Door leading to SPA is damaged ,,1/20/21,3
1/19/21,,,,,Civil,,General Comment: This day was spent by fixing the cracks and civil issues of Dubliner as mentioned above ,1/19/21,8
1/19/21,,y,Huawie Corridor ,Urgent,AC,FCU pipes leak ,,1/20/21,4
1/19/21,,y,156,Urgent,pLumbing,Drain pipe of the toilet in Huawie has been blocked ,,1/19/21,1
1/20/21,,,Entrance area,Low,PPM,PPM on the security  gate,,1/20/21,3
1/20/21,,,Pump room,Medium,electrical,Protection relay missing from pool electric board ,,1/26/21,2
1/20/21,,,Lobby,Medium,Carpentry,Lobby door wood needs touch-up,This needs brown silicon. We do not have General.,2/3/21,4
1/20/21,,,Dubliner,Medium,Carpentry,Dubliner bar back stage sheet floor is damaged ,We need that type of floor sheet  ,1/25/21,7
1/20/21,,,Hotel façade,Medium,electrical,Three lines of light +The letters H and U of the building are not working ,,1/26/21,6
1/20/21,,,Entrance area,Medium,Civil,Secury  entrance road damage ,This needs tar. Kak Barzan has been informed ,3/1/21,1
1/20/21,,,Reception ,Medium,Carpentry,Shelves for reception , ,2/1/21,3
1/20/21,,,Spa,Medium,mechanical,Jaccuzzi covers ,,2/3/21,4
1/20/21,,,Spa,Medium,General,Mirror for spa,We arewaGeneraling for next meeting complain kak barzan so that we can inform him,1/20/21,0.5
1/20/21,,,Basketball field ,Medium,electrical,The basketball field for Hwaie needs projectors to lighten the place up ,This took some time because we had to modify the projectores in a way that General can be attached in a stable way to the standing lights  ,2/11/21,10
1/21/21,,,,,PPM,,General Comment: Nawroz celing problem and Civil + the rimander of house-keeping list of rooms to be painted has been done  ,1/21/21,6
1/23/21,,,Spa,Medium,General,Jaccuzzi water seems to have gotten colder by one degree which produces comlaints by guests  ,The floor heating was turned on  to make the general atmosphere of the pool hoter so that the heater can manage to heat the water. Also General is important to note that General has been decided to make the heaters two instead of one in future as the heater is small and causes problems for us in times of winter,1/23/21,0.5
1/23/21,,,Pump room,Medium,electrical,Dosing Pump Electronic problem,"The issue is electronic, so we send the dosing pump to GMS to their electronic technician to fix the issue ",1/23/21,4
1/23/21,,,Spa,Medium,electrical,The changing color-big light in pool stopped working ,,1/27/21,8
1/23/21,,,Lobby,Medium,Carpentry,curtain broken,"This curtain has a certain type of robe, we are waGeneraling for next meeting complain kak barzan so that we can inform him",1/23/21,3
1/23/21,,,Basketball field ,Medium,Civil,There is cracks in the field ,Dr. Jaza is informed that we need tar in order to go ahead and fill these cracks ,1/25/21,4
1/23/21,,,,,Civil,,General Comment: 6 rooms have been completely painted.,1/23/21,10
1/23/21,,,kitchen,Medium,plumbing,wash basin drain is blocked ,,1/24/21,1
1/23/21,,,kitchen,Medium,AC, AHU is not heating ,"After opening the coil, cleaning , and also emptying out all the air in that specific pipes, the issue was resloved  ",1/24/21,3
1/23/21,,y,Huawie rooms,Medium,electrical,5 standing lamp does not work ,,2/2/21,1.5
1/24/21,,,,,Civil,,General Comment: 6 rooms have been completely painted ,1/24/21,8
1/24/21,,,Dubliner,Medium,electrical,There is a short in the light circuit  that surrounds Dubliner garden + 6 lights are not working  ,,1/28/21,1
1/25/21,,,,,Civil,,General comment: 6 rooms have been painted in this day + the other works that has been done on this date that are mentioned above  ,1/25/21,8
1/25/21,y,,Accomodation,Medium,electrical, lights in all floors needs changing ,,1/30/21,2
1/25/21,,,,Medium,electrical,Some of the standing lights outside needs fixing in the top as their reflection panels have broken ,We are planing to order crane in the next week,1/30/21,10
1/26/21,,,,,Civil,,General Comment: Another 6 rooms have been painted on this day + The short in the light of dubliner was fixed  ,1/26/21,8
1/26/21,,,kitchen,Medium,AC,One freezer leaks water ,,1/31/21,4
1/27/21,,,,Low,Civil,,Fixing Cracks in Civil in service area near H.K area ,1/27/21,4
1/27/21,,,,,electrical,,General comment: The lighting issue in the third and forth floor of accomodation was fixed ,1/27/21,6
1/28/21,,,,,General,,"General Comment: This day was mostly spent fixing accumilated minor issues, like fixing the door of receiving area, fixing hanging lights.",1/28/21,7
1/28/21,,,Pump room,Medium,PPM,Jaccuzzi Jet has leakage ,"We have opened the pump two times now. We changed one washer and applied silicon, this reduced the leakage abGeneral but did not stop General completely. I suspect we need to change a specific washer that we could not find in the bazar for the leak to stop completely ",6/10/21,3
1/30/21,,,,,electrical,,General Comment: this day was spent changing the corridor lights of all the accomodation building + changing the outside flags ,1/30/21,6
1/31/21,,,,,AC,,General Comment: This day was spent fixing one of the big freezers in kitchen which was leaking ,1/31/21,4
2/1/21,,,,,electrical,,"General Comment: Crane was ordered on this day, most of the exterior lights of the building issues was solved. As well as installing shelves for the reception. ",2/1/21,6
2/2/21,,,"302, 308, 148, 229,223",Medium,PPM,Quick PPM as next Saturday 50 guests will arrive ,,2/2/21,6
2/2/21,,,hotel entrance,Low,electrical,"Car barriers in the secuirty lost calibration completely to the point it was pressing the glass of the security office with  huge force when barrier was opening, also coming down with huge force.",,2/2/21,4
2/3/21,,,,,General,,"General Comment: This day was spent by fixing a door that is located near the lobby, as well as other tries to fix the jaccuzzi jet, General was realized that we would need to buy mechanical seals, so this was set as a purchasing plan. ",2/3/21,8
2/4/21,,,Dubliner,Medium,AC, fridge is not cooling ,,2/6/21,5
2/6/21,,,kitchen,Low,AC,Dishwasher does not work ,,2/8/21,4
2/6/21,,,hotel,Medium,electrical,Floor lights need fixing ,,2/7/21,2
2/7/21,,,Dubliner,Medium,electrical,Some lights are not working ,,2/7/21,1
2/7/21,,,,,electrical,,"General comment: On this day, spot lights of all the hotel were checked, and all the ones that were not working + all the lights that were whGeneralish were changed.",2/7/21,3
2/8/21,,,302,Medium,PPM,Complete PPM,"By complete PPM everything like plumbing, Civil, electrical, AC, Mechanical is being covered throughly ",2/9/21,4
2/9/21,,,,,PPM,,General comment: This day was spent by completing the PPM of the room 302 as well as fixing 3 Acs in Sarchnar'saccomodation. ,2/9/21,2.5
2/10/21,,y,Huawei basketball field ,Low,electrical,"Welding all the ordered plates complain hooks so that we are able to attach the projectors of Huawei in a stable manner, also painted the plates for aesthetic reasons   ",,2/10/21,8
2/10/21,,,316,Medium,PPM, Complete PPM,,2/17/21,3.2
2/11/21,,y,Huawei ,Medium,electrical,Huawie requested installing hair driers to almost all rooms ,,2/15/21,4
2/11/21,,,Spa,Urgent,pLumbing,A valve was leaking excessively to the point that it completely filled the whole tiles of the area  with water ,A very important take away is that we  need to install new valves for the hotel because we had to close down the water of the whole hotel to be able to fix the issue  ,2/11/21,1.5
2/13/21,,,,Medium,Civil,Room 305 floor tiles + kitchen stone for preparing food was broekn + tile in nawroz was about to fall ,,2/15/21,10
2/13/21,,y,254,Medium,PPM,complete PPM of AC side,,2/13/21,2
2/14/21,,,kitchen,Medium,AC,Large freezer is not working ,,2/14/21,4
2/15/21,,,Pump room,Urgent,PPM,"Sand filter is very dirty, needs opening up and clean up ",,2/15/21,2
2/15/21,,,Dubliner,Medium,General,dimmable controler was not working ,,2/15/21,0.2
2/15/21,,,,,AC,,General Comment: All AC complains were met at this day as well. ,2/15/21,2
2/16/21,,,,,General,,"General Comment: On this day, SOP number 01 which explains SOPs and their structure was given to three staffs with careful explanation. The Other staff were attending complains as well as working on finishing 316 PPM ",2/16/21,4
2/17/21,y,,,,General,,General Comment: lights in accomodation floors and rooms were changed on this day + plus minor damages caused by the strong wind like thrown flags with ruined ropes.,2/17/21,5
2/17/21,,,,,AC,,"General Comment: On this day, almost all of the AC complains of the accommodation were taken care of.",2/17/21,6
2/17/21,,y,Huawei basketball field ,Medium,General,One basketball structure fell near the gas tanks + Generals upper structure was bent (cause : intense wind),The problem wasthe neck of the structure was completely stuck to the fin like structure srounding the LPG tanks ,2/18/21,1
2/17/21,,,hotel entrance,Medium,General,"Due to the strong wind, the Iraqi flaq has fallen and the rope is completely ruined ",We are waiting  for a chance to order crane time as changing the rope requires that,6/13/21,2
2/17/21,,y,Huawei basketball field ,Medium,General,Other basket ball structure fell onto the field + Generals ring was bent to an extreme degree  (cause : intense wind),"We have lifted the structure. However, after ordering the basketball ring, General has not still reached us. ",2/19/21,3
2/17/21,,,,Medium,General,"In one of the rooms, the patio cover has been thrown via the strong wind","The structure has been damaged, we are waiting for the wind to ease up so that we can install it this time with better support.",3/3/21,6
2/17/21,,,,,General,,General Comment: On this day all the damages caused by the strong wind that could be fixed without ordering spare parts were fixed.,2/17/21,2
2/20/21,,y,257,Medium,PPM,complete PPM of AC side ,,2/20/21,2
2/20/21,,y,Huawei 3rd floor,Medium,Civil,Leak in corridor,,2/24/21,3
2/22/21,,,Shisha room,Medium,AC,AC does not work ,,2/23/21,4
2/22/21,,,Spa,Medium,mechanical,"SPA male side, shower's hot line does not provide enough flow",,2/23/21,2
2/23/21,,,,,AC,,room 249 ,2/23/21,1
2/24/21,,,249,Medium,Civil,Civil side of the room ,,2/24/21,1.5
2/24/21,,y,Huawei entrance,meduim,electrical,entrance sliding door is not working ,,2/24/21,0.5
2/24/21,,,249,Medium,RMS,RMS issue ,,2/24/21,3.5
2/25/21,,,251,high,PPM,everything but Civil,,2/25/21,3
2/28/21,,,Kitchen ,Medium,electrical,kitchen area was not completely lit ,"In total, 8 lights were repaired ",2/28/21,1.5
2/28/21,,,Lobby,Medium,electrical,"One lobby entrace light had issues for long, it would work sometimes but then sometimes would not work ",,2/28/21,3
2/28/21,,,Kitchen ,Medium,electrical,Some anti-fly lights not working ,,3/1/21,2
3/1/21,,y,154,Medium,plumbing,wash basin drain is blocked ,,3/1/21,1
3/2/21,,,149,high,Civil,,"General Comment: 149 Civil side done, LPG leak tested, broken patio cover of 149 aka Kak Faruq's room was completely fixed from Generals holes and was painted and left over-night for General to dry ",3/5/21,4
2/18/21,,y,360,Medium,AC,Actuator was not fully in place ,,2/18/21,1
2/18/21,,y,359,Medium,AC,window was open,,2/23/21,0.1
2/23/21,,y,256,Medium,AC,filter not clean,,2/28/21,0.5
2/28/21,,y,358,Medium,AC,Actuator was not fully in place ,,3/4/21,0.9
3/4/21,,y,155,Medium,AC,Wrong valves were open,,3/7/21,0.5
3/7/21,,y,159,Medium,AC,Window was open ,,3/15/21,0.2
3/15/21,,y,357,Medium,AC,filter not clean,,4/23/21,0.6
3/23/21,,y,253,Medium,AC,Wrong valves were open,,3/24/21,0.5
3/24/21,,y,159,Medium,AC,window was open ,,3/30/21,0.1
3/30/21,,y,357,Medium,AC,Wrong valves were open,,4/5/21,0.5
4/5/21,,y,359,Medium,AC,Actuator was not fully in place ,,4/5/21,1
2/13/21,,y,254,Medium,AC,254 FCU maintenanace,,2/13/21,2
2/20/21,,y,257,Medium,AC,257 FCU maintenance,,2/20/21,2
3/6/21,,y,259,Medium,AC,259 FCU maintenance ,,3/6/21,2.5
3/27/21,,y,254,Medium,Civil,254 complete Civil ,,3/27/21,3
4/3/21,,y,156,Medium,Civil,156 complete Civil,,4/3/21,3.5
4/10/21,,y,259,Medium,Civil,259 complete Civil,,4/10/21,4
4/17/21,,y,260,Medium,Civil,260 Complete Civil ,,4/17/21,3
4/24/21,,y,154,Medium,Civil,154 Complete Civil ,,4/24/21,2.5
5/1/21,,y,All coridors Huawei,Medium,PPM,physical check of sprinklers ,,5/1/21,2
5/8/21,,y,156,Medium,Civil,156 Civil ,,5/8/21,3
5/15/21,,y,153,Medium,Civil,153 Civil ,,5/15/21,2.5
5/22/21,,y,157,Medium,Civil,157 Civil ,,5/29/21,3
5/28/21,,,Spa,Medium,plumbing,WC hose leaking      ,,5/28/21,0.4
5/28/21,,,Spa,Medium,electrical,Plug doesn’t work,,5/28/21,0.5
5/28/21,,,301,Medium,General,safety box doesn’t work,,5/28/21,0.5
5/28/21,,,151,Medium,electrical,hair dryer not working,,5/28/21,0.7
5/28/21,,,229,Medium,electrical,standing lamp not working,,5/28/21,0.2
5/28/21,,,251,Medium,electrical,electrical problem,,5/28/21,2
5/28/21,,,350,Medium,Carpentry,curtain not moving,,5/28/21,0.5
5/28/21,,,122,Medium,General,TV setup box issue,,5/28/21,1
5/28/21,,,134,Medium,General,TV setup box issue,,5/28/21,0.8
5/28/21,,,Dubliner,Medium,electrical,lights not working,,5/28/21,0.5
5/29/21,,,Restaurant,Medium,AC,Tempreture too high ,,5/29/21,0.5
5/29/21,,,347,Medium,electrical,reading light not working,,5/29/21,0.2
5/29/21,,,347,Medium,AC,Actuator was not fully in place ,,5/29/21,0.7
5/29/21,,,345,Medium,General,TV setup box issue,,5/29/21,1.2
5/29/21,,,352,Medium,plumbing,Shower issue,,5/29/21,0.5
5/29/21,,,249,Medium,General,TV setup box issue,,5/29/21,1
5/29/21,,,243,Medium,electrical,No power in room,,5/29/21,1
5/29/21,,,305,Medium,AC,Actuator was not fully in place ,,5/29/21,1.2
5/29/21,,,lobby,Medium,Civil,fixing crack in tile,,5/29/21,2
5/30/21,,,323,Medium,AC,Wrong valves were open,,5/30/21,0.5
5/30/21,,,321,Medium,AC,actuator removed ,,5/30/21,1.5
5/30/21,,,346,Medium,AC,actuator removed ,,5/30/21,1
5/30/21,,,kitchen,Medium,AC,refrigerator is not working,,5/30/21,3
5/30/21,,,240,high,PPM,,,5/30/21,4.5
5/30/21,,,Spa,Medium,electrical,Heater of female steam room not working ,,5/30/21,5
5/30/21,,,321,Medium,plumbing,water faucet leaking,,5/30/21,1
5/30/21,,,234,Medium,AC,filter not clean,,5/30/21,0.6
5/30/21,,,141,Medium,plumbing,WC hose leaking      ,,5/30/21,0.5
5/31/21,,,314,Medium,AC,filter not clean,,5/31/21,0.5
5/31/21,,,235,Medium,General,TV setup box issue,,5/31/21,0.8
6/1/21,,,Spa,high,General,Changing water of cold jaccuzzi ,,6/1/21,5
6/1/21,,,Spa,Medium,Plumbing,water faucet leaking,,6/1/21,1.3
6/1/21,,,132,Medium,General,TV setup box issue,,6/1/21,1
6/1/21,,,124,Medium,mechanical,Door and window issue,,6/1/21,1
6/1/21,,,224,Medium,Carpentry,wardrope not sliding,changing the whole sliding system ,6/1/21,2.5
6/1/21,,,222,Medium,electrical,standing lamp not working,,6/1/21,0.5
6/1/21,,,225,Medium,mechanical,soap and towel holder loose ,,6/1/21,0.5
6/2/21,,,303,Medium,General,TV setup box issue,,6/2/21,1.3
6/2/21,,,231,Medium,General,TV setup box issue,,6/2/21,1
6/2/21,,,251,high,PPM,everything but flushing AC coil,,6/2/21,4.5
6/2/21,,,303,high,PPM,everything but flushing AC coil,,6/2/21,5
6/2/21,,,kitchen,Medium,mechanical,fry machine leaking oil  not working ,,6/2/21,2
6/2/21,,,231,Medium,RMS,Card holder not reponding ,,6/2/21,1.5
6/2/21,,,304,Medium,General,TV setup box issue,,6/2/21,1
6/2/21,,,125,Medium,electrical,socket not working,,6/2/21,0.7
6/2/21,,,347,Medium,AC,window was open ,,6/2/21,0.2
6/2/21,,,352,Medium,AC,actuator removed ,,6/2/21,1.5
6/2/21,,,237,Medium,AC,filter not clean,,6/2/21,0.5
6/2/21,,,Spa,Medium,plumbing,wash basin drain is blocked,,6/2/21,1
6/2/21,,,352,Medium,General,TV setup box issue,,6/2/21,1.5
6/2/21,,,313,Medium,General,TV setup box issue,,6/2/21,1
6/2/21,,,314,Medium,General,TV setup box issue,,6/2/21,1
6/2/21,,y,Huawei restaurant ,Medium,AC,"One split ""General"" isnt working.",,6/2/21,3
6/2/21,,,security Office ,Medium,mechanical,Door lock broken ,,6/2/21,1
6/3/21,,,Entrance garden,Medium,plumbing,leak in two hoses ,,6/3/21,0.5
6/3/21,,,Kitchen,Medium,electrical,Meet cutting machine ,,6/3/21,1
6/3/21,,,Dubliner,Medium,General,one window's belt has been cut ,,6/22/21,1
6/3/21,,,243,high,PPM,everything but flushing AC coil,,6/3/21,5
6/3/21,,,307,Medium,electrical,standing lamp not working,,6/3/21,1.5
6/3/21,,,306,Medium,mechanical,Door lock broken ,,6/3/21,1
6/3/21,,,303,Medium,mechanical,window handle isnt working,,6/3/21,1
6/3/21,,,147,Medium,electrical,shaving merror ,,6/3/21,1
6/3/21,,,246,Medium,electrical,"tv was not working,electrical problem",,6/3/21,1
6/3/21,,,247,Medium,plumbing,wash basin drain is blocked,,6/3/21,2
6/3/21,,,Dubliner,Medium,plumbing,wash basin drain is blocked ,,6/3/21,1.5
6/4/21,,,Spa,Medium,plumbing,wash basin drain is blocked,,6/4/21,1
6/4/21,,,122,Medium,RMS,Card reader is not reposnsive ,,6/4/21,1
6/4/21,,,322,Medium,AC,Wrong valves were open,,6/4/21,0.5
6/4/21,,,131,Medium,General,TV setup box issue,,6/4/21,1
6/4/21,,,335,Medium,General,TV setup box issue,,6/4/21,1.5
6/4/21,,,245,Medium,AC,filter not clean,,6/4/21,0.5
6/4/21,,,Dubliner,Medium,electrical,few lights not working ,,6/4/21,0.5
6/4/21,,,135,Medium,plumbing,wash basin drain is blocked ,,6/4/21,1
6/4/21,,,hotel entrance,Medium,mechanical,security arms not working ,,6/4/21,4
6/4/21,,,345,Medium,AC,Window was open ,,6/4/21,0.2
6/5/21,,,G floor-C block corridor ,Medium,Civil,Creating wall between C and D block in G floor,,6/5/21,8
6/5/21,,,313,Medium,electrical,No power in room,,6/5/21,1
6/5/21,,,security Office ,Medium,Carpentry,table was broken,,6/5/21,2
6/5/21,,,330,Medium,General,TV setup box issue,,6/5/21,1.5
6/5/21,,,236,Medium,AC,filter not clean,,6/5/21,1
6/5/21,,,134,Medium,General,"TV isnot working, problem with wiring",,6/5/21,0.5
6/5/21,,,146,Medium,General,TV setup box issue,,6/5/21,1.5
6/5/21,,,248,Medium,AC,window was open,,6/5/21,0.5
6/5/21,,,337,Medium,General,"tv was not working,electrical problem",,6/5/21,1
6/5/21,y,,Dubliner,high,mechanical,ceiling is not responding ,,6/5/21,2
6/6/21,y,,Accomodation,,mechanical,From 5th floor until second floor all wc and bathroom area was fixed from all problems ,,6/6/21,2
6/6/21,y,,Accomodation,,electrical,From 5th floor until second floor all wc and bathroom area was fixed from all problems ,,6/6/21,2
6/6/21,y,,Accomodation,Medium,Plumbing ,From 5th floor until second floor all wc and bathroom area was fixed from all problems ,,6/6/21,2
6/6/21,,,Hotel entrance,Medium,electrical,security gate circuit  was burned.,,6/6/21,3
6/6/21,,,316,Medium,AC,window sensor was not responding,,6/6/21,2.5
6/7/21,,,149,high,PPM,everything but flushing AC coil,,6/7/21,6
6/7/21,,,146,high,PPM,everything but flushing AC coil,,6/7/21,6.5
6/7/21,,,339,Medium,General,TV setup box issue,,6/7/21,1.5
6/7/21,,,122,Medium,General,TV setup box issue,,6/7/21,1
6/7/21,,,324,Medium,AC,filter not clean,,6/7/21,0.7
6/7/21,,,329,Medium,General,telephone wiring issue,,6/7/21,1
6/7/21,,,Lobby Cafetria ,Medium,electrical,"Coffee mahcine kept on tripping, changed socket and wire",,6/7/21,1
